UnivId,WorldRank,UniversityName,Country,NationalRank,Publications,Influence,Citations,BroadImpact,Patents,OverallScore
1,110,Arizona State University,USA,56,139,109,105,173,23,48.34
2,491,Auburn University,USA,152,499,585,415,630,296,43.19
3,496,Augusta University,USA,154,512,427,709,425,638,43.18
4,116,Baylor College of Medicine,USA,57,114,39,73,44,157,48.17
5,505,Baylor University,USA,157,655,544,357,469,623,43.16
6,682,Binghamton University,USA,188,722,689,709,744,663,42.82
7,354,Boston College,USA,121,584,362,302,399,391,43.85
8,57,Boston University,USA,35,72,45,22,37,91,52.07
9,828,Bowling Green State University,USA,210,949,742,482,820,766,42.64
10,232,Brandeis University,USA,91,606,217,357,348,255,45.18
11,453,Brigham Young University,USA,144,507,452,357,469,164,43.33
12,81,Brown University,USA,49,120,87,97,105,208,50.12
13,11,California Institute of Technology,USA,9,82,13,23,28,13,80.46
14,67,Carnegie Mellon University,USA,41,225,233,138,154,122,50.89
15,118,Case Western Reserve University,USA,58,146,111,81,90,91,48.09
16,323,City College of New York,USA,116,752,478,576,621,379,44.1
17,924,Clarkson University,USA,219,993,965,853,903,766,42.55
18,497,Clemson University,USA,155,450,529,576,449,373,43.18
19,375,College of William and Mary,USA,125,691,520,319,522,807,43.72
20,346,Colorado School of Mines,USA,120,703,588,482,601,663,43.88
21,278,Colorado State University,USA,107,247,231,213,243,255,44.56
22,6,Columbia University,USA,4,13,12,13,14,4,90.8
23,12,Cornell University,USA,10,22,15,37,22,12,79.73
24,545,Creighton University,USA,163,884,694,415,455,456,43.07
25,47,Dartmouth College,USA,30,248,179,213,182,78,53.35
26,251,Drexel University,USA,97,367,368,213,293,79,44.87
27,29,Duke University,USA,21,19,23,13,15,26,58.84
28,752,East Carolina University,USA,200,720,692,853,715,541,42.73
29,79,Emory University,USA,47,64,53,70,36,63,50.17
30,902,Florida Atlantic University,USA,216,872,716,853,864,556,42.57
31,728,Florida Institute of Technology,USA,195,977,718,278,694,913,42.75
32,572,Florida International University,USA,170,497,508,415,509,499,43.02
33,249,Florida State University,USA,96,227,222,105,229,349,44.95
34,404,George Mason University,USA,131,468,372,357,368,410,43.56
35,235,George Washington University,USA,92,298,230,319,260,410,45.12
36,131,Georgetown University,USA,62,319,318,252,221,138,47.59
37,95,Georgia Institute of Technology,USA,52,113,173,105,108,43,49.29
38,514,Georgia State University,USA,159,446,424,415,502,320,43.15
39,1,Harvard University,USA,1,1,1,1,1,2,100
40,804,Howard University,USA,208,948,683,576,793,433,42.67
41,929,Hunter College,USA,220,848,623,853,903,766,42.55
42,138,Icahn School of Medicine at Mount Sinai,USA,65,152,64,89,61,122,47.45
43,438,Illinois Institute of Technology,USA,140,790,749,482,705,825,43.39
44,135,Indiana University  Bloomington,USA,64,192,150,252,205,223,47.52
45,188,Indiana University Purdue University Indianapolis,USA,79,187,180,252,133,101,45.93
46,211,Iowa State University,USA,86,188,195,167,194,325,45.5
47,16,Johns Hopkins University,USA,13,4,11,4,4,3,67.15
48,362,Kansas State University,USA,123,399,350,252,352,314,43.79
49,566,Kent State University,USA,168,673,457,576,485,470,43.03
50,285,Lehigh University,USA,108,664,525,357,565,465,44.43
51,757,Loma Linda University,USA,201,873,774,853,705,418,42.72
52,191,Louisiana State University,USA,80,183,184,126,176,145,45.89
53,662,Louisiana Tech University,USA,183,996,897,482,764,704,42.85
54,461,Loyola University Chicago,USA,148,566,405,357,385,766,43.3
55,800,Marquette University,USA,206,933,806,853,967,704,42.67
56,3,Massachusetts Institute of Technology,USA,3,14,2,3,2,1,95.72
57,328,Medical College of Wisconsin,USA,117,361,254,278,266,673,44.05
58,296,Medical University of South Carolina,USA,109,327,333,194,243,397,44.32
59,380,Miami University,USA,128,775,653,482,667,862,43.7
60,130,Michigan State University,USA,61,103,141,89,130,85,47.6
61,788,Michigan Technological University,USA,204,812,783,482,744,508,42.68
62,596,Mississippi State University,USA,173,625,574,576,667,564,42.96
63,773,Missouri University of Science and Technology,USA,203,803,927,709,842,521,42.7
64,606,Montana State University,USA,176,611,329,482,539,521,42.94
65,747,New Jersey Institute of Technology,USA,199,839,666,357,851,233,42.73
66,620,New Mexico State University,USA,178,758,634,482,539,913,42.91
67,615,New York Medical College,USA,177,830,732,709,522,686,42.92
68,19,New York University,USA,16,48,29,32,32,51,64.36
69,205,North Carolina State University,USA,83,168,227,234,236,101,45.67
70,770,North Dakota State University,USA,202,735,825,853,820,296,42.7
71,258,Northeastern University,USA,100,362,281,252,337,81,44.78
72,801,Northern Arizona University,USA,207,912,476,482,744,673,42.67
73,645,Northern Illinois University,USA,180,757,705,252,694,741,42.87
74,17,Northwestern University,USA,14,27,37,29,25,46,65.02
75,966,Oakland University,USA,224,899,857,853,920,862,42.52
76,48,Ohio State University,USA,31,30,51,35,35,47,53.33
77,495,Ohio University,USA,153,669,553,853,661,198,43.18
78,459,Oklahoma State University,USA,146,470,640,357,495,333,43.31
79,660,Old Dominion University,USA,182,784,612,482,601,429,42.85
80,159,Oregon Health & Science University,USA,71,193,113,97,100,128,46.75
81,257,Oregon State University,USA,99,257,167,153,236,282,44.79
82,58,Pennsylvania State University,USA,36,39,42,43,51,68,52.07
83,669,Portland State University,USA,186,789,636,709,715,521,42.84
84,9,Princeton University,USA,7,99,26,23,39,122,86.04
85,64,Purdue University,USA,39,86,100,126,130,34,51.06
86,955,Queens College City University of New York,USA,223,976,753,853,957,713,42.53
87,301,Rensselaer Polytechnic Institute,USA,111,472,385,194,324,194,44.27
88,120,Rice University,USA,59,286,162,62,151,72,48.03
89,739,Rochester Institute of Technology,USA,198,936,601,482,682,598,42.74
90,33,Rockefeller University,USA,23,412,33,302,105,255,57.53
91,332,Rush University,USA,118,435,401,194,273,410,44.04
92,49,Rutgers University,USA,32,74,62,66,61,66,53.31
93,374,Saint Louis University,USA,124,491,312,482,327,382,43.73
94,377,San Diego State University,USA,126,492,343,302,340,470,43.71
95,835,San Francisco State University,USA,211,912,620,853,775,913,42.64
96,664,Southern Illinois University Carbondale,USA,184,615,564,709,612,576,42.85
97,132,Southern Methodist University,USA,63,711,580,415,621,766,47.58
98,2,Stanford University,USA,2,5,3,2,3,7,96.86
99,674,State University of New York Upstate Medical University,USA,187,810,602,576,601,541,42.83
100,165,Stony Brook University,USA,72,196,105,167,154,96,46.59
101,590,SUNY Downstate Medical Center,USA,172,792,462,709,522,541,42.98
102,443,Syracuse University,USA,141,517,502,576,469,422,43.38
103,396,Temple University,USA,130,323,292,576,372,217,43.61
104,101,Texas A&M University,USA,55,92,132,81,154,89,48.58
105,500,Texas Tech University,USA,156,473,583,319,539,515,43.17
106,919,The Catholic University of America,USA,218,988,633,576,887,686,42.55
107,274,Thomas Jefferson University,USA,104,351,320,167,214,314,44.6
108,98,Tufts University,USA,54,185,171,81,113,71,48.94
109,306,Tulane University,USA,113,384,294,415,278,320,44.24
110,644,Uniformed Services University of the Health Sciences,USA,179,645,489,853,565,913,42.88
111,424,University at Albany SUNY,USA,138,447,395,252,375,541,43.47
112,277,University at Buffalo,USA,106,210,283,252,258,183,44.56
113,507,University of Akron,USA,158,692,681,415,715,107,43.16
114,387,University of Alabama - Tuscaloosa,USA,129,530,518,319,449,306,43.66
115,149,University of Alabama at Birmingham,USA,67,148,131,144,88,95,47.03
116,718,University of Alabama in Huntsville,USA,193,952,447,709,644,766,42.76
117,569,University of Alaska Fairbanks,USA,169,646,408,415,502,766,43.03
118,75,University of Arizona,USA,45,88,41,55,61,137,50.3
119,555,University of Arkansas - Fayetteville,USA,165,592,645,482,565,391,43.04
120,448,University of Arkansas for Medical Sciences,USA,143,531,569,709,383,282,43.35
121,7,"University of California, Berkeley",USA,5,12,4,7,7,22,88.26
122,51,"University of California, Davis",USA,33,33,38,38,51,53,52.73
123,96,"University of California, Irvine",USA,53,94,61,66,71,89,49.19
124,15,"University of California, Los Angeles",USA,12,8,14,9,8,6,71.83
