UniversityName,R.DRank,Percentile,R.Dexpenditure,X
Albany Medical College,270,30.6,20166,
Arizona State University,44,5.7,518239,
Auburn University,126,14.7,152381,
Augusta University,39,5.2,572527,
Baylor College of Medicine,241,27.4,26767,
Baylor University,0,0,0,
Binghamton University,57,7.2,395921,
Boston College,302,34.1,14460,
Boston University,162,18.7,73435,
Bowling Green State University,206,23.5,42304,
Brandeis University,65,8,347016,
Brigham Young University,60,7.5,371060,
Brown University,74,9,319168,
California Institute of Technology,55,6.9,405655,
Carnegie Mellon University,513,57.3,2030,
Case Western Reserve University,309,34.8,12983,
City College of New York,109,12.9,183965,
Clarkson University,176,20.2,63027,
Clemson University,180,20.7,60931,
College of William and Mary,71,8.7,331862,
Colorado School of Mines,20,3.1,837312,
Colorado State University,13,2.3,974199,
Columbia University,254,28.8,23510,
Cornell University,95,11.3,233636,
Creighton University,135,15.7,127909,
Dartmouth College,10,2,1055778,
Drexel University,247,28,25273,
Duke University,35,4.7,614527,
East Carolina University,242,27.5,26750,
Emory University,277,31.3,18860,
Florida Atlantic University,119,14,170846,
Florida Institute of Technology,82,9.9,268288,
Florida International University,145,16.8,108899,
Florida State University,96,11.4,231829,
George Mason University,111,13.1,183788,
George Washington University,25,3.6,790706,
Georgetown University,123,14.4,161314,
Georgia Institute of Technology,8,1.8,1077253,
Georgia State University,209,23.9,41038,
Harvard University,291,32.9,16143,
Howard University,268,30.3,20447,
Hunter College,233,26.5,29826,
Icahn School of Medicine at Mount Sinai,45,5.8,508766,
Illinois Institute of Technology,73,8.9,328385,
Indiana University  Bloomington,1,1,2431180,
Indiana University Purdue University Indianapolis,107,12.7,193254,
Iowa State University,221,25.2,34661,
Johns Hopkins University,224,25.5,32941,
Kansas State University,258,29.2,22977,
Kent State University,81,9.8,291972,
Lehigh University,257,29.1,23104,
Loma Linda University,205,23.4,42672,
Louisiana State University,236,26.8,28422,
Louisiana Tech University,14,2.4,946159,
Loyola University Chicago,105,12.4,199925,
Marquette University,84,10.1,260098,
Massachusetts Institute of Technology,292,33,16057,
Medical College of Wisconsin,36,4.9,613369,
Medical University of South Carolina,164,18.9,72536,
Miami University,220,25.1,35756,
Michigan State University,764,84.8,460,
Michigan Technological University,133,15.5,130812,
Mississippi State University,142,16.5,114619,
Missouri University of Science and Technology,284,32.1,17311,
Montana State University,23,3.4,809739,
New Jersey Institute of Technology,47,6.1,489918,
New Mexico State University,124,14.5,156297,
New York Medical College,134,15.6,129040,
New York University,213,24.3,39580,
North Carolina State University,264,29.9,21225,
North Dakota State University,29,4.1,713491,
Northeastern University,293,33.1,16001,
Northern Arizona University,22,3.3,818464,
Northern Illinois University,185,21.2,59117,
Northwestern University,110,13,183799,
Oakland University,170,19.6,70054,
Ohio State University,72,8.8,331524,
Ohio University,87,10.5,254275,
Oklahoma State University,0,0,0,
Old Dominion University,189,21.7,56572,
Oregon Health & Science University,76,9.2,305147,
Oregon State University,352,39.6,7812,
Pennsylvania State University,638,71,1022,i
Portland State University,125,14.6,154543,
Princeton University,202,23.1,45518,
Purdue University,69,8.5,335136,
Queens College City University of New York,163,18.8,73351,
Rensselaer Polytechnic Institute,410,45.9,4250,
Rice University,207,23.6,42151,
Rochester Institute of Technology,154,17.8,90722,
Rockefeller University,237,26.9,28273,
Rush University,195,22.3,53172,
Rutgers University,228,25.9,31819,
Saint Louis University,9,1.9,1066269,
San Diego State University,659,73.3,859,
San Francisco State University,582,64.8,1375,i
Southern Illinois University Carbondale,158,18.3,84651,
Southern Methodist University,90,10.8,246392,
Stanford University,16,2.7,892718,
State University of New York Upstate Medical University,117,13.8,172521,
Stony Brook University,203,26,46120,
SUNY Downstate Medical Center,137,15.9,122396,
Syracuse University,108,12.8,189085,
Temple University,121,14.2,165438,
Texas A&M University,86,10.3,256203,
Texas Tech University,214,24.4,39051,
The Catholic University of America,673,74.8,780,
Thomas Jefferson University,352,23,5400,
Tufts University,267,45,3500,
Tulane University,354,34,54221,
Uniformed Services University of the Health Sciences,341,2.5,34221,
University at Albany SUNY,321,4.6,345,
University at Buffalo,34,33,21455,
University of Akron,27,3.9,741892,
University of Alabama - Tuscaloosa,67,8.3,345319,
University of Alabama at Birmingham,12,2.2,1037528,
University of Alabama in Huntsville,235,26.7,29370,
University of Alaska Fairbanks,127,14.8,152233,
University of Arizona,7,1.7,1087117,
University of Arkansas - Fayetteville,4,1.3,1294261,
University of Arkansas for Medical Sciences,98,11.7,230139,
"University of California, Berkeley",128,15,151192,
"University of California, Davis",91,10.9,242308,
"University of California, Irvine",53,6.7,420997,
"University of California, Los Angeles",52,6.6,430579,
"University of California, Merced",49,6.3,453123,
"University of California, Riverside",83,10,265522,
"University of California, San Diego",140,16.3,116589,
"University of California, San Francisco",116,13.6,176295,
"University of California, Santa Barbara",261,29.6,21326,
"University of California, Santa Cruz",24,3.5,791294,
University of Central Florida,54,6.8,410345,
University of Chicago,77,9.4,304476,
University of Cincinnati,122,14.3,162049,
University of Colorado Boulder,147,17,102457,
University of Colorado Denver  Anschutz Medical Campus,68,8.4,337296,
University of Connecticut,33,4.5,625180,
University of Dayton,48,6.2,473362,
University of Delaware,79,9.6,297933,
University of Denver,64,7.9,349661,
University of Florida,113,13.3,182454,
University of Georgia,160,18.5,79222,
University of Hawaii at Manoa,58,7.3,393876,
University of Houston,168,19.4,70166,
University of Idaho,41,5.4,539388,
University of Illinois at Chicago,101,12,214576,
University of Illinois at Urbana  Champaign,175,20.1,64223,
University of Iowa,172,19.8,68494,
University of Kansas,88,10.6,253099,
University of Kentucky,198,22.7,48321,
University of Louisville,62,7.7,358441,
University of Maine,0,0,0,
"University of Maryland, Baltimore",0,0,0,
"University of Maryland, Baltimore County",138,16.1,121665,
"University of Maryland, College Park",89,10.7,248300,
University of Massachusetts Amherst,169,19.5,70059,
University of Massachusetts Boston,129,15.1,150694,
University of Massachusetts Lowell,177,20.3,62825,
University of Massachusetts Medical School,152,17.6,95475,
University of Memphis,131,15.3,145015,
University of Miami,92,11,239550,
University of Michigan,297,33.5,15719,
University of Minnesota,11,2.1,1045338,
University of Mississippi,238,27,27815,
