Times_id,Rank,UniversityName,State,Fees,RommAndBoard,PayAfterGraduate,OverallScore,Resources,Engagement,Opporunities
1,432,Albany Medical College,Louisiana,21821,9515,38000,40.2,15.4,15.4,15.4
2,141,Arizona State University,Arizona,25458,11061,45000,64.4,14,16.7,25.7
3,306,Auburn University,Alabama,28040,12584,46000,54.8,13,17.6,21.1
4,54,Augusta University,North Carolina,33673,10902,51000,80.2,20.7,16.5,37.6
5,27,Baylor College of Medicine,North Carolina,19703,10899,42000,48,15.4,15.4,16.3
6,188,Baylor University,Texas,40198,11360,49000,61.5,17.1,17.7,22.4
7,122,Binghamton University,North Carolina,21607,9426,36000,48,15.4,16.3,15.4
8,60,Boston College,Massachusetts,49324,13496,67000,73.1,18,15.7,34.8
9,40,Boston University,Massachusetts,48436,14520,60000,78.2,21.3,16.9,33.6
10,827,Bowling Green State University,Ohio,18332,8496,39000,23.71,15.4,17.2,15
11,87,Brandeis University,Massachusetts,49298,13856,58000,69.9,21.8,15.7,26.4
12,330,Brigham Young University,North Dakota,18899,7492,46000,48,14.1,16.4,15.4
13,11,Brown University,Rhode Island,49346,12700,60000,87.5,26.8,17.7,36.1
14,7,California Institute of Technology,California,45390,13371,76000,89.8,30,14.6,38.8
15,20,Carnegie Mellon University,Pennsylvania,50665,12830,74000,86.1,25.4,17.3,36.8
16,34,Case Western Reserve University,Ohio,44560,13850,68000,79.6,24.2,16.5,32.6
17,461,City College of New York,Iowa,29940,9000,41000,49.4,16.7,15.3,15.5
18,152,Clarkson University,New York,44630,13844,68000,63.8,17.9,14.6,27.2
19,189,Clemson University,South Carolina,32800,8718,50000,61.5,14.1,17,27.2
20,944,College of William and Mary,Texas,19090,8199,42000,48,15.4,17,15.4
21,191,Colorado School of Mines,Connecticut,34828,11008,75000,61.4,15.5,15.1,26.5
22,320,Colorado State University,Colorado,27267,10794,44000,54.5,12.7,17,20.9
23,2,Columbia University,New York,53000,12860,74000,90.6,27,16.7,39
24,10,Cornell University,New York,49116,13678,72000,88.9,26.8,17.5,38.1
25,135,Creighton University,Nebraska,36422,10294,57000,65.2,21.2,16.7,23.9
26,17,Dartmouth College,New Hampshire,49506,14238,67000,86.8,26.6,17.3,37
27,85,Drexel University,Pennsylvania,44114,14730,62000,70,20.3,17,25.7
28,5,Duke University,North Carolina,49241,14032,77000,90.2,26.7,17.2,39.5
29,440,East Carolina University,North Carolina,22154,9319,39000,50.3,10.7,16.9,17.8
30,19,Emory University,Georgia,46314,13130,59000,86.4,26,16.6,36.2
31,661,Florida Atlantic University,Florida,17276,11748,41000,40.3,15.4,15.9,15.4
32,213,Florida Institute of Technology,Florida,39290,13500,54000,60.1,21.2,15.7,15.7
33,538,Florida International University,Florida,18954,10702,44000,45.2,15.4,16.2,17
