"Rank","UniversityName","Country","No..of.Students","Student.Staff.Ratio","International.Students","No..of.FTE.Students","Student.Staff.Ratio.1","International.Students.1","Female.Male.Ratio"
141,"Arizona State University  ","Arizona","$25,458","$11,061","$45,000","64.4","14","16.7","25.7"
306,"Auburn University  ","Alabama","$28,040","$12,584","$46,000","54.8","13","17.6","21.1"
188,"Baylor University   ","Texas","$40,198","$11,360","$49,000","61.5","17.1","17.7","22.4"
60,"Boston College  ","Massachusetts","$49,324","$13,496","$67,000","73.1","18","15.7","34.8"
40,"Boston University  ","Massachusetts","$48,436","$14,520","$60,000","78.2","21.3","16.9","33.6"
827,"Bowling Green State University  ","Ohio","$18,332","$8,496","$39,000","23.7-40.2","-","17.2","-"
87,"Brandeis University  ","Massachusetts","$49,298","$13,856","$58,000","69.9","21.8","15.7","26.4"
11,"Brown University  ","Rhode Island","$49,346","$12,700","$60,000","87.5","26.8","17.7","36.1"
7,"California Institute of Technology  ","California","$45,390","$13,371","$76,000","89.8","30","14.6","38.8"
20,"Carnegie Mellon University  ","Pennsylvania","$50,665","$12,830","$74,000","86.1","25.4","17.3","36.8"
34,"Case Western Reserve University  ","Ohio","$44,560","$13,850","$68,000","79.6","24.2","16.5","32.6"
461,"City College of New York","Iowa","$29,940","$9,000","$41,000","49.4","16.7","15.3","15.5"
152,"Clarkson University  ","New York","$44,630","$13,844","$68,000","63.8","17.9","14.6","27.2"
189,"Clemson University  ","South Carolina","$32,800","$8,718","$50,000","61.5","14.1","17","27.2"
191,"Colorado School of Mines  ","Connecticut","$34,828","$11,008","$75,000","61.4","15.5","15.1","26.5"
320,"Colorado State University  ","Colorado","$27,267","$10,794","$44,000","54.5","12.7","17","20.9"
2,"Columbia University  ","New York","$53,000","$12,860","$74,000","90.6","27","16.7","39"
10,"Cornell University  ","New York","$49,116","$13,678","$72,000","88.9","26.8","17.5","38.1"
135,"Creighton University  ","Nebraska","$36,422","$10,294","$57,000","65.2","21.2","16.7","23.9"
17,"Dartmouth College  ","New Hampshire","$49,506","$14,238","$67,000","86.8","26.6","17.3","37"
85,"Drexel University  ","Pennsylvania","$44,114","$14,730","$62,000","70","20.3","17","25.7"
5,"Duke University  ","North Carolina","$49,241","$14,032","$77,000","90.2","26.7","17.2","39.5"
440,"East Carolina University  ","North Carolina","$22,154","$9,319","$39,000","50.3","10.7","16.9","17.8"
19,"Emory University  ","Georgia","$46,314","$13,130","$59,000","86.4","26","16.6","36.2"
661,"Florida Atlantic University  ","Florida","$17,276","$11,748","$41,000","40.3-45.1","-","15.9","-"
