Sentiment_Id,University0me,TweetsConsidered,PositiveWords,NegativeWords,PostiveScore,NegativeScore
1,Albany Medical College,98,44,11,80,20
2,Arizona State University,353,121,62,66,34
3,Auburn University,50,34,3,92,8
4,Augusta University,40,13,5,72,28
5,Baylor College of Medicine,654,302,113,73,27
6,Baylor University,165,68,40,63,37
7,Binghamton University,44,47,4,92,8
8,Boston College,505,335,101,77,23
9,Boston University,30,12,3,80,20
10,Bowling Green State University,215,143,42,77,23
11,Brandeis University,120,60,24,71,29
12,Brigham Young University,45,18,8,69,31
13,Brown University,49,16,14,53,47
14,California Institute of Technology,620,175,108,62,38
15,Carnegie Mellon University,223,80,26,75,25
16,Case Western Reserve University,452,189,70,73,27
17,City College of New York,5,4,1,80,20
18,Clarkson University,19,5,0,100,0
19,Clemson University,59,10,6,63,38
20,College of William and Mary,34,16,2,89,11
21,Colorado School of Mines,552,224,147,60,40
22,Colorado State University,34,17,2,89,11
23,Columbia University,536,183,147,55,45
24,Cornell University,298,89,50,64,36
25,Creighton University,225,78,62,56,44
26,Dartmouth College,95,27,27,50,50
27,Drexel University,52,22,10,69,31
28,Duke University,398,133,57,70,30
29,East Carolina University,52,26,10,72,28
30,Emory University,71,20,10,67,33
31,Florida Atlantic University,1,2,0,100,0
32,Florida Institute of Technology,3,0,2,0,100
33,Florida International University,99,48,10,83,17
34,Florida State University,296,127,66,66,34
35,George Mason University,820,499,366,58,42
36,George Washington University,613,268,150,64,36
37,Georgetown University,191,106,29,79,21
38,Georgia Institute of Technology,215,58,26,69,31
39,Georgia State University,59,43,7,86,14
40,Harvard University,377,99,46,68,32
41,Howard University,213,40,152,21,79
42,Hunter College,345,97,54,64,36
43,Icahn School of Medicine at Mount Sinai,256,89,22,80,20
44,Illinois Institute of Technology,23,15,6,71,29
45,Indiana University  Bloomington,430,159,134,54,46
46,Indiana University Purdue University Indianapolis,26,38,2,95,5
47,Iowa State University,91,92,45,67,33
48,Johns Hopkins University,136,64,29,69,31
49,Kansas State University,85,34,2,94,6
50,Kent State University,616,256,141,64,36
51,Lehigh University,331,86,48,64,36
52,Loma Linda University,137,79,28,74,26
53,Louisiana State University,316,63,227,22,78
54,Louisiana Tech University,178,72,22,77,23
55,Loyola University Chicago,174,74,30,71,29
56,Marquette University,517,219,101,68,32
57,Massachusetts Institute of Technology,293,76,28,73,27
58,Medical College of Wisconsin,178,82,21,80,20
59,Medical University of South Carolina,50,35,8,81,19
60,Miami University,59,43,13,77,23
61,Michigan State University,391,152,116,57,43
62,Michigan Technological University,162,95,17,85,15
63,Mississippi State University,178,91,28,76,24
64,Missouri University of Science and Technology,157,70,29,71,29
65,Montana State University,255,78,27,74,26
66,New Jersey Institute of Technology,116,144,8,95,5
67,New Mexico State University,431,180,67,73,27
68,New York Medical College,8,1,1,50,50
69,New York University,368,77,31,71,29
70,North Carolina State University,26,4,3,57,43
71,North Dakota State University,23,23,0,100,0
72,Northeastern University,612,284,114,71,29
73,Northern Arizona University,36,13,4,76,24
74,Northern Illinois University,201,90,47,66,34
75,Northwestern University,455,166,119,58,42
76,Oakland University,19,27,4,87,13
77,Ohio State University,568,181,164,52,48
78,Ohio University,54,26,6,81,19
79,Oklahoma State University,517,292,101,74,26
80,Old Dominion University,51,23,13,64,36
81,Oregon Health & Science University,189,58,19,75,25
82,Oregon State University,73,27,15,64,36
83,Pennsylvania State University,132,56,40,58,42
84,Portland State University,40,55,1,98,2
85,Princeton University,62,13,5,72,28
86,Purdue University,113,34,19,64,36
87,Queens College City University of New York,39,4,0,100,0
88,Rensselaer Polytechnic Institute,154,59,16,79,21
89,Rice University,80,39,9,81,19
90,Rochester Institute of Technology,38,16,2,89,11
91,Rockefeller University,318,96,162,37,63
92,Rush University,166,94,17,85,15
93,Rutgers University,307,122,36,77,23
94,Saint Louis University,14,13,1,93,7
95,San Diego State University,151,63,44,59,41
96,San Francisco State University,16,6,0,100,0
