webo_id,World.Rank,UniversityName,PresenceRank,ImpactRank,OpennessRank,ExcellenceRank
1,1419,Albany Medical College,5335,2526,1320,1267
2,52,Arizona State University,224,38,15,117
3,352,Auburn University,809,193,366,562
4,898,Augusta University,2437,2481,686,610
5,257,Baylor College of Medicine,2009,567,84,134
6,435,Baylor University,957,231,535,741
7,515,Binghamton University,1776,317,354,820
8,309,Boston College,657,135,229,611
9,43,Boston University,218,52,19,67
10,689,Bowling Green State University,1535,397,622,1174
11,416,Brandeis University,1444,259,335,670
12,248,Brigham Young University,258,88,329,569
13,70,Brown University,183,66,62,124
14,38,California Institute of Technology,155,18,25,112
15,142,Carnegie Mellon University,872,148,113,160
16,872,Case Western Reserve University,2931,868,651,1162
17,302,City College of New York,861,167,360,501
18,581,Clarkson University,1838,688,447,649
19,123,Clemson University,396,70,144,279
20,8,College of William and Mary,16,5,26,10
21,687,Colorado School of Mines,1604,422,1185,991
22,131,Colorado State University,561,82,145,263
23,224,Columbia University,793,160,100,377
24,16,Cornell University,12,29,16,18
25,597,Creighton University,1094,482,856,804
26,68,Dartmouth College,568,86,81,65
27,622,Drexel University,1448,439,409,973
28,730,Duke University,2133,719,310,989
29,281,East Carolina University,325,194,249,453
30,116,Emory University,309,75,124,260
31,202,Florida Atlantic University,332,83,252,487
32,527,Florida Institute of Technology,631,76,9593,304
33,144,Florida International University,427,64,156,368
34,46,Florida State University,225,57,28,70
35,262,George Mason University,773,115,279,506
36,1,George Washington University,1,2,1,1
37,944,Georgetown University,3319,760,1470,1220
38,552,Georgia Institute of Technology,4306,1173,3358,147
39,470,Georgia State University,1267,300,430,770
40,66,Harvard University,193,31,70,193
41,94,Howard University,205,71,175,192
42,18,Hunter College,141,39,34,5
43,382,Icahn School of Medicine at Mount Sinai,620,275,1163,458
44,364,Illinois Institute of Technology,971,152,212,678
45,488,Indiana University  Bloomington,1315,349,373,747
46,974,Indiana University Purdue University Indianapolis,3392,1284,863,1033
47,226,Iowa State University,481,133,311,391
48,929,Johns Hopkins University,3532,1185,938,976
49,474,Kansas State University,547,340,785,697
50,819,Kent State University,1549,558,1000,1263
51,3,Lehigh University,3,1,4,11
52,496,Loma Linda University,2764,766,383,417
53,428,Louisiana State University,2424,763,211,346
54,33,Louisiana Tech University,26,28,13,88
55,453,Loyola University Chicago,1156,208,793,790
